#{"t_start": 1753130765.2015631, "env_id": "None"}
r,l,t
0.0,2916,0.5033
0.0,2916,1.00631
0.0,2916,1.511022
0.0,2916,1.998676
0.0,2916,2.50693
0.0,2916,2.998214
0.0,2916,3.50045
0.0,2916,4.01451
0.0,2916,4.51983
0.0,2916,5.026678
0.0,2916,5.516764
0.0,2916,6.011865
0.0,2916,6.518001
0.0,2916,7.008007
0.0,2916,7.517181
0.0,2916,8.020826
0.0,2916,8.533886
0.0,2916,9.02821
0.0,2916,9.539528
0.0,2916,10.052519
0.0,2916,10.561273
0.0,2916,11.060625
0.0,2916,11.57501
0.0,2916,12.074042
0.0,2916,12.586009
0.0,2916,13.081921
0.0,2916,13.57207
0.0,2916,14.062616
0.0,2916,14.572562
0.0,2916,15.075268
0.0,2916,15.576328
0.0,2916,16.073444
0.0,2916,16.571664
0.0,2916,17.07585
0.0,2916,17.579982
0.0,2916,18.078707
0.0,2916,18.584154
0.0,2916,19.076358
0.0,2916,19.575381
0.0,2916,20.073266
0.0,2916,20.582664
0.0,2916,21.087156
0.0,2916,21.585132
0.0,2916,22.076438
0.0,2916,22.589746
0.0,2916,23.073857
0.0,2916,23.58476
0.0,2916,24.093274
0.0,2916,24.601266
0.0,2916,25.126979
0.0,2916,25.660886
0.0,2916,26.143107
0.0,2916,26.639238
0.0,2916,27.13744
0.0,2916,27.666563
0.0,2916,28.181045
0.0,2916,28.680167
0.0,2916,29.186214
0.0,2916,29.693217
0.0,2916,30.197926
0.0,2916,30.696748
0.0,2916,31.199162
0.0,2916,31.715628
0.0,2916,32.202443
0.0,2916,32.70074
0.0,2916,33.202905
0.0,2916,33.732481
0.0,2916,34.25619
0.0,2916,34.759724
0.0,2916,35.254865
0.0,2916,35.761133
0.0,2916,36.25717
0.0,2916,36.773049
0.0,2916,37.281972
0.0,2916,37.803133
0.0,2916,38.304352
0.0,2916,38.801824
0.0,2916,39.298461
0.0,2916,39.803512
0.0,2916,40.31466
0.0,2916,40.824202
